Offset: 0x0009AE60 | Value: 0x00007FFDA1FC5180
Offset: 0x0009AE68 | Value: 0x00007FFDA1FBFA10
Offset: 0x0009AE70 | Value: 0x00007FFDA1FBB8C0
Offset: 0x0009AE78 | Value: 0x00007FFDA1FBE360
Offset: 0x0009AE80 | Value: 0x00007FFDA1FC5310
Offset: 0x0009AE88 | Value: 0x00007FFDA1FBF4E0
Offset: 0x0009AE90 | Value: 0x00007FFDA1FC5130
Offset: 0x0009AE98 | Value: 0x00007FFDA1FBE260
Offset: 0x0009AEA0 | Value: 0x00007FFDA1FC50E0
Offset: 0x0009AEA8 | Value: 0x00007FFDA1FC4EA0
Offset: 0x0009AEB0 | Value: 0x00007FFDA1FC51B0
Offset: 0x0009AEB8 | Value: 0x00007FFDA1FC52B0
Offset: 0x0009AEC0 | Value: 0x00007FFDA1FBE400
Offset: 0x0009AEC8 | Value: 0x00007FFDA1FDE390
Offset: 0x0009AED0 | Value: 0x00007FFDA1FDE170
Offset: 0x0009AED8 | Value: 0x00007FFDA1FDDF60
Offset: 0x0009AEE0 | Value: 0x00007FFDA1FC08B0
Offset: 0x0009AEE8 | Value: 0x00007FFDA1FBCEA0
Offset: 0x0009AEF0 | Value: 0x00007FFDA1FC4E90
Offset: 0x0009AEF8 | Value: 0x00007FFDA1FBB0E0
Offset: 0x0009AF00 | Value: 0x00007FFDA1FBE3E0
Offset: 0x0009BBF0 | Value: 0x00007FFDA2D127D0
Offset: 0x000A7200 | Value: 0x00007FFDA1FBCB50
Offset: 0x000A7208 | Value: 0x00007FFDA1FBF3F0
Offset: 0x000A7210 | Value: 0x00007FFDA1FC0830
Offset: 0x000A7218 | Value: 0x00007FFDA1FD8FA0
Offset: 0x000A7220 | Value: 0x00007FFDA1FBB200
Offset: 0x000A7228 | Value: 0x00007FFDA1FC4BD0
Offset: 0x000A7230 | Value: 0x00007FFDA1FB5FF0
Offset: 0x000A7238 | Value: 0x00007FFDA1FB5F30
Offset: 0x000A7B10 | Value: 0x00007FFDA1FBF3F0
Offset: 0x000A7B18 | Value: 0x00007FFDA1FC0830
Offset: 0x000A7B20 | Value: 0x00007FFDA1FBB200
